epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,16618.3,2.30981,1.2271,0.83513,0.68868,0.49123,0.54741,0.2253,2.18813,1.11852,0.82509,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16812.1,2.33267,1.23272,0.83195,0.68673,0.49402,0.55003,0.22677,2.18585,1.11931,0.82459,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17004.4,2.31479,1.2294,0.83357,0.68813,0.49145,0.54867,0.22585,2.19029,1.12026,0.82466,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,17196.8,2.31807,1.22827,0.82703,0.67898,0.49481,0.54969,0.22601,2.1915,1.11813,0.82424,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,17388.9,2.30721,1.22327,0.8313,0.68433,0.49366,0.55059,0.22571,2.19122,1.11908,0.82434,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,17581,2.30972,1.21587,0.82843,0.67869,0.50054,0.5521,0.22657,2.19183,1.11644,0.82436,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,17773.2,2.31013,1.218,0.82901,0.687,0.50068,0.55396,0.22774,2.19158,1.11326,0.8244,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,17979.4,2.33669,1.27462,0.82567,0.68617,0.49574,0.55091,0.22618,2.19419,1.11723,0.82586,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,18170.1,2.33418,1.26756,0.82198,0.68248,0.49516,0.54958,0.22538,2.19627,1.11972,0.82672,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,18361.4,2.30234,1.25462,0.81958,0.68976,0.49173,0.54884,0.2247,2.19987,1.12136,0.82671,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18552.1,2.29841,1.24081,0.82292,0.68878,0.49177,0.54898,0.22441,2.19874,1.12285,0.82641,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18742.7,2.29358,1.25161,0.82361,0.68771,0.49173,0.54932,0.22476,2.20116,1.12314,0.82663,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,18938.1,2.28062,1.23258,0.82289,0.68804,0.49345,0.54888,0.22414,2.2034,1.12499,0.82618,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19135.9,2.26803,1.21885,0.82378,0.6846,0.49522,0.54894,0.2243,2.20068,1.12457,0.82587,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19330.3,2.27615,1.23069,0.82298,0.68417,0.49638,0.54873,0.22442,2.19862,1.12283,0.82531,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19526.7,2.26316,1.2134,0.82115,0.68372,0.49517,0.54881,0.22397,2.19945,1.1221,0.82541,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,19729.7,2.28581,1.22056,0.81855,0.68164,0.49474,0.54693,0.22353,2.19764,1.1232,0.82538,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
